19:49:59 Step  151 | loss=-0.6391 | avg_loss=-0.5145 | tokens=3660 | queue=0
19:55:07 Step  152 | loss=-0.7408 | avg_loss=-0.5160 | tokens=4139 | queue=0
20:00:15 Step  153 | loss=-0.7127 | avg_loss=-0.5173 | tokens=3758 | queue=0
20:05:25 Step  154 | loss=-0.6646 | avg_loss=-0.5182 | tokens=4070 | queue=1
20:10:33 Step  155 | loss=-0.5944 | avg_loss=-0.5187 | tokens=4162 | queue=0
20:15:41 Step  156 | loss=-0.7700 | avg_loss=-0.5203 | tokens=3663 | queue=0
20:20:50 Step  157 | loss=-0.6818 | avg_loss=-0.5213 | tokens=3998 | queue=0
20:25:57 Step  158 | loss=-0.6221 | avg_loss=-0.5220 | tokens=3637 | queue=0
20:31:06 Step  159 | loss=-0.6636 | avg_loss=-0.5229 | tokens=4247 | queue=0
20:36:13 Step  160 | loss=-0.7168 | avg_loss=-0.5241 | tokens=3579 | queue=0
20:41:23 Step  161 | loss=-0.6717 | avg_loss=-0.5250 | tokens=3974 | queue=1
20:46:34 Step  162 | loss=-0.7486 | avg_loss=-0.5264 | tokens=4207 | queue=0
20:51:42 Step  163 | loss=-0.6483 | avg_loss=-0.5271 | tokens=4208 | queue=0
20:56:48 Step  164 | loss=-0.7295 | avg_loss=-0.5284 | tokens=3656 | queue=0
21:01:53 Step  165 | loss=-0.7486 | avg_loss=-0.5297 | tokens=4044 | queue=1
21:07:02 Step  166 | loss=-0.7961 | avg_loss=-0.5313 | tokens=4101 | queue=0
21:12:12 Step  167 | loss=-0.6618 | avg_loss=-0.5321 | tokens=3844 | queue=0
21:17:19 Step  168 | loss=-0.6583 | avg_loss=-0.5328 | tokens=3913 | queue=0
21:22:26 Step  169 | loss=-0.7476 | avg_loss=-0.5341 | tokens=3649 | queue=0
21:27:35 Step  170 | loss=-0.7020 | avg_loss=-0.5351 | tokens=4502 | queue=0
21:32:44 Step  171 | loss=-0.7028 | avg_loss=-0.5361 | tokens=4230 | queue=0
21:37:53 Step  172 | loss=-0.7541 | avg_loss=-0.5373 | tokens=3922 | queue=0
21:43:01 Step  173 | loss=-0.7202 | avg_loss=-0.5384 | tokens=4133 | queue=0
21:48:11 Step  174 | loss=-0.8065 | avg_loss=-0.5399 | tokens=3750 | queue=0
21:53:21 Step  175 | loss=-0.7330 | avg_loss=-0.5410 | tokens=4059 | queue=0
21:58:32 Step  176 | loss=-0.7472 | avg_loss=-0.5422 | tokens=4335 | queue=0
22:03:39 Step  177 | loss=-0.7152 | avg_loss=-0.5432 | tokens=4348 | queue=0
22:08:49 Step  178 | loss=-0.6854 | avg_loss=-0.5440 | tokens=4170 | queue=0
22:13:59 Step  179 | loss=-0.7854 | avg_loss=-0.5453 | tokens=3975 | queue=0
22:19:08 Step  180 | loss=-0.8477 | avg_loss=-0.5470 | tokens=4000 | queue=0
22:24:17 Step  181 | loss=-0.7533 | avg_loss=-0.5482 | tokens=4118 | queue=0
22:29:26 Step  182 | loss=-0.7244 | avg_loss=-0.5491 | tokens=3800 | queue=1
22:34:35 Step  183 | loss=-0.8394 | avg_loss=-0.5507 | tokens=4182 | queue=0
22:39:41 Step  184 | loss=-0.9226 | avg_loss=-0.5527 | tokens=3506 | queue=0
22:44:50 Step  185 | loss=-0.8021 | avg_loss=-0.5541 | tokens=4024 | queue=1
22:49:58 Step  186 | loss=-0.7008 | avg_loss=-0.5549 | tokens=4595 | queue=0
22:55:03 Step  187 | loss=-0.8176 | avg_loss=-0.5563 | tokens=3755 | queue=0
23:00:11 Step  188 | loss=-0.7878 | avg_loss=-0.5575 | tokens=3553 | queue=1
23:05:22 Step  189 | loss=-0.7814 | avg_loss=-0.5587 | tokens=4325 | queue=0
23:10:29 Step  190 | loss=-0.8816 | avg_loss=-0.5604 | tokens=4027 | queue=0
23:15:36 Step  191 | loss=-0.7372 | avg_loss=-0.5613 | tokens=4063 | queue=0
23:20:41 Step  192 | loss=-0.8648 | avg_loss=-0.5629 | tokens=3787 | queue=0
23:25:49 Step  193 | loss=-0.8095 | avg_loss=-0.5642 | tokens=4165 | queue=0
23:30:56 Step  194 | loss=-0.9672 | avg_loss=-0.5663 | tokens=3920 | queue=0
23:36:03 Step  195 | loss=-0.8359 | avg_loss=-0.5676 | tokens=3568 | queue=0
23:41:14 Step  196 | loss=-0.8796 | avg_loss=-0.5692 | tokens=3976 | queue=1
23:46:23 Step  197 | loss=-0.8321 | avg_loss=-0.5706 | tokens=4045 | queue=1
23:51:34 Step  198 | loss=-0.8799 | avg_loss=-0.5721 | tokens=4708 | queue=0
23:56:43 Step  199 | loss=-0.8649 | avg_loss=-0.5736 | tokens=3574 | queue=0
00:01:52 Step  200 | loss=-0.8575 | avg_loss=-0.5750 | tokens=4087 | queue=0
00:07:02 Step  201 | loss=-0.9691 | avg_loss=-0.5770 | tokens=3939 | queue=0
00:12:08 Step  202 | loss=-0.8451 | avg_loss=-0.5783 | tokens=4118 | queue=0
00:17:15 Step  203 | loss=-0.8815 | avg_loss=-0.5798 | tokens=3887 | queue=0
00:22:25 Step  204 | loss=-0.9336 | avg_loss=-0.5815 | tokens=3586 | queue=1
00:27:34 Step  205 | loss=-0.8326 | avg_loss=-0.5828 | tokens=4160 | queue=0
00:32:42 Step  206 | loss=-0.9223 | avg_loss=-0.5844 | tokens=3821 | queue=1
00:37:50 Step  207 | loss=-0.8315 | avg_loss=-0.5856 | tokens=4561 | queue=0
00:42:57 Step  208 | loss=-1.0216 | avg_loss=-0.5877 | tokens=3839 | queue=0
00:48:04 Step  209 | loss=-0.9312 | avg_loss=-0.5893 | tokens=4034 | queue=0
00:53:14 Step  210 | loss=-0.8332 | avg_loss=-0.5905 | tokens=4236 | queue=0
00:58:21 Step  211 | loss=-0.8179 | avg_loss=-0.5916 | tokens=3747 | queue=1
01:03:29 Step  212 | loss=-0.9840 | avg_loss=-0.5934 | tokens=4618 | queue=0
01:08:36 Step  213 | loss=-0.9559 | avg_loss=-0.5951 | tokens=3696 | queue=0
01:13:45 Step  214 | loss=-0.9533 | avg_loss=-0.5968 | tokens=3964 | queue=0
01:18:55 Step  215 | loss=-1.0973 | avg_loss=-0.5991 | tokens=3594 | queue=1
01:24:02 Step  216 | loss=-0.9804 | avg_loss=-0.6009 | tokens=4062 | queue=0
01:29:08 Step  217 | loss=-1.1074 | avg_loss=-0.6032 | tokens=3654 | queue=1
01:34:15 Step  218 | loss=-1.0166 | avg_loss=-0.6051 | tokens=4053 | queue=1
01:39:22 Step  219 | loss=-0.9506 | avg_loss=-0.6067 | tokens=4422 | queue=0
01:44:30 Step  220 | loss=-0.9602 | avg_loss=-0.6083 | tokens=3824 | queue=0
01:49:38 Step  221 | loss=-1.0998 | avg_loss=-0.6105 | tokens=4118 | queue=0
01:54:49 Step  222 | loss=-0.9788 | avg_loss=-0.6122 | tokens=4303 | queue=0
01:59:57 Step  223 | loss=-0.9186 | avg_loss=-0.6136 | tokens=3929 | queue=0
02:05:04 Step  224 | loss=-1.0280 | avg_loss=-0.6154 | tokens=4277 | queue=0
02:10:14 Step  225 | loss=-1.0212 | avg_loss=-0.6172 | tokens=4035 | queue=0
02:15:23 Step  226 | loss=-0.9476 | avg_loss=-0.6187 | tokens=3907 | queue=0
02:20:28 Step  227 | loss=-1.0218 | avg_loss=-0.6205 | tokens=4053 | queue=0
02:25:35 Step  228 | loss=-1.2529 | avg_loss=-0.6232 | tokens=3505 | queue=0
02:26:35 Step  229 | loss=-1.0769 | avg_loss=-0.6252 | tokens=782 | queue=0
