13:39:27 Step  127 | loss=-0.3349 | avg_loss=-0.2247 | tokens=2455 | queue=0
13:44:35 Step  128 | loss=-0.3432 | avg_loss=-0.2256 | tokens=2169 | queue=0
13:49:45 Step  129 | loss=-0.3108 | avg_loss=-0.2262 | tokens=2438 | queue=0
13:54:53 Step  130 | loss=-0.1432 | avg_loss=-0.2256 | tokens=2411 | queue=0
14:00:02 Step  131 | loss=-0.1891 | avg_loss=-0.2253 | tokens=2408 | queue=0
14:05:15 Step  132 | loss=-0.2473 | avg_loss=-0.2255 | tokens=2739 | queue=0
14:10:26 Step  133 | loss=-0.2722 | avg_loss=-0.2258 | tokens=2427 | queue=1
14:15:38 Step  134 | loss=-0.3638 | avg_loss=-0.2269 | tokens=2427 | queue=0
14:20:47 Step  135 | loss=-0.2961 | avg_loss=-0.2274 | tokens=2172 | queue=1
14:25:58 Step  136 | loss=-0.2239 | avg_loss=-0.2274 | tokens=2423 | queue=0
14:31:10 Step  137 | loss=-0.2502 | avg_loss=-0.2275 | tokens=2604 | queue=0
14:36:24 Step  138 | loss=-0.3991 | avg_loss=-0.2288 | tokens=2443 | queue=1
14:41:33 Step  139 | loss=-0.2636 | avg_loss=-0.2290 | tokens=2419 | queue=0
14:46:44 Step  140 | loss=-0.2053 | avg_loss=-0.2288 | tokens=3010 | queue=0
14:51:55 Step  141 | loss=-0.2589 | avg_loss=-0.2291 | tokens=1976 | queue=0
14:57:06 Step  142 | loss=-0.2920 | avg_loss=-0.2295 | tokens=2463 | queue=0
15:02:16 Step  143 | loss=-0.3044 | avg_loss=-0.2300 | tokens=2437 | queue=0
15:07:24 Step  144 | loss=-0.2551 | avg_loss=-0.2302 | tokens=2410 | queue=0
15:12:34 Step  145 | loss=-0.2251 | avg_loss=-0.2302 | tokens=1820 | queue=0
15:17:47 Step  146 | loss=-0.3489 | avg_loss=-0.2310 | tokens=2455 | queue=0
15:22:58 Step  147 | loss=-0.3435 | avg_loss=-0.2317 | tokens=2458 | queue=0
15:28:09 Step  148 | loss=-0.4274 | avg_loss=-0.2331 | tokens=1979 | queue=0
15:33:20 Step  149 | loss=-0.2427 | avg_loss=-0.2331 | tokens=2412 | queue=0
15:38:29 Step  150 | loss=-0.3913 | avg_loss=-0.2342 | tokens=2065 | queue=0
15:43:38 Step  151 | loss=-0.2979 | avg_loss=-0.2346 | tokens=2423 | queue=0
15:48:49 Step  152 | loss=-0.2553 | avg_loss=-0.2347 | tokens=2436 | queue=0
15:54:02 Step  153 | loss=-0.3663 | avg_loss=-0.2356 | tokens=2215 | queue=0
15:59:14 Step  154 | loss=-0.3827 | avg_loss=-0.2366 | tokens=2464 | queue=0
16:04:25 Step  155 | loss=-0.3019 | avg_loss=-0.2370 | tokens=1831 | queue=1
16:09:36 Step  156 | loss=-0.1926 | avg_loss=-0.2367 | tokens=3010 | queue=0
16:14:48 Step  157 | loss=-0.3452 | avg_loss=-0.2374 | tokens=2427 | queue=0
16:19:55 Step  158 | loss=-0.3399 | avg_loss=-0.2380 | tokens=2408 | queue=0
16:25:09 Step  159 | loss=-0.3171 | avg_loss=-0.2385 | tokens=2428 | queue=0
16:30:18 Step  160 | loss=-0.2258 | avg_loss=-0.2385 | tokens=2407 | queue=0
16:35:29 Step  161 | loss=-0.4158 | avg_loss=-0.2396 | tokens=2448 | queue=0
16:40:37 Step  162 | loss=-0.1876 | avg_loss=-0.2392 | tokens=2408 | queue=0
16:45:48 Step  163 | loss=-0.3146 | avg_loss=-0.2397 | tokens=2429 | queue=0
16:50:58 Step  164 | loss=-0.2522 | avg_loss=-0.2398 | tokens=2420 | queue=0
16:56:05 Step  165 | loss=-0.3142 | avg_loss=-0.2402 | tokens=1866 | queue=0
17:01:15 Step  166 | loss=-0.2556 | avg_loss=-0.2403 | tokens=2408 | queue=1
17:06:27 Step  167 | loss=-0.2304 | avg_loss=-0.2403 | tokens=3010 | queue=0
17:11:36 Step  168 | loss=-0.4743 | avg_loss=-0.2416 | tokens=2245 | queue=0
17:16:48 Step  169 | loss=-0.2576 | avg_loss=-0.2417 | tokens=2403 | queue=0
17:21:56 Step  170 | loss=-0.3078 | avg_loss=-0.2421 | tokens=3010 | queue=0
17:27:08 Step  171 | loss=-0.2395 | avg_loss=-0.2421 | tokens=2408 | queue=2
